"You have no active subscriptions","You have no active subscriptions"
"Print Payment","Print Payment"
"Product Subscription with Rebill","Product Subscription with Rebill"
"One time purchase","One time purchase"
"Subscribe to this product %1","Subscribe to this product %1"
"Subscribe to this product","Subscribe to this product"
"Place Order","Place Order"
Continue,Continue
"Add Frequency","Add Frequency"
Save,Save
"Edit Frequencies","Edit Frequencies"
Months,Months
Years,Years
"If it is 0 the subscription will be cyclical","If it is 0 the subscription will be cyclical"
Delete,Delete
"The frequency should be bigger than 0.","The frequency should be bigger than 0."
"The Max Recurring Payments should be bigger equal to 0 or bigger than 1.","The Max Recurring Payments should be bigger equal to 0 or bigger than 1."
"Cancel Subscription","Cancel Subscription"
"You are about to cancel a subscription. Are you sure?","You are about to cancel a subscription. Are you sure?"
Ok,Ok
"Pause Subscription","Pause Subscription"
"You are about to pause a subscription. Are you sure?","You are about to pause a subscription. Are you sure?"
"Reactivate Subscription","Reactivate Subscription"
"You are about to reactivate this subscription. Are you sure?","You are about to reactivate this subscription. Are you sure?"
Pay,Pay
Rebill,Rebill
Enabled,Enabled
Title,Title
"Sort Order","Sort Order"
General,General
"Status for Approved Orders","Status for Approved Orders"
"Status for Denied Orders","Status for Denied Orders"
"Email for failed reorder","Email for failed reorder"
"Reorders happens when a new payment is placed from rebill or a subscription is about to be payed.","Reorders happens when a new payment is placed from rebill or a subscription is about to be payed."
"Qty of days to retry a reorder in case of failure","Qty of days to retry a reorder in case of failure"
"Allow mixed cart","Allow mixed cart"
"This option will allow the customer to pay subscription and not subscription products in the same order","This option will allow the customer to pay subscription and not subscription products in the same order"
"Text for subscription products","Text for subscription products"
"This text will be shown in product page to let customer know that the product is subscription type.","This text will be shown in product page to let customer know that the product is subscription type."
"Text for guest customer in subscription products","Text for guest customer in subscription products"
"This text will be shown in product page to let guest customer know that they can subscribe to the product only if they have an account.","This text will be shown in product page to let guest customer know that they can subscribe to the product only if they have an account."
"Label for Subscription Products","Label for Subscription Products"
"Label in form of a text or image to more easily identify subscription products","Label in form of a text or image to more easily identify subscription products"
"Text for Label","Text for Label"
"Api Options","Api Options"
"Api User Email","Api User Email"
"Api Password","Api Password"
"Organization Alias","Organization Alias"
UUID,UUID
"Unique identifier provided by Rebill","Unique identifier provided by Rebill"
"Integration mode","Integration mode"
"Default Gateway","Default Gateway"
"Enable debug logs","Enable debug logs"
"Rebill Id","Rebill Id"
"Payment Id","Payment Id"
status,status
Amount,Amount
Currency,Currency
"Card Last Numbers","Card Last Numbers"
"Card Brand","Card Brand"
"Order Id","Order Id"
"Customer Firstname","Customer Firstname"
"Customer Lastname","Customer Lastname"
"Gateway Type","Gateway Type"
"Gateway Description","Gateway Description"
Description,Description
"Created At","Created At"
Id,Id
Type,Type
Data,Data
"User Email","User Email"
"Last Charge Date","Last Charge Date"
"Next Charge Date","Next Charge Date"
Subscriptions,Subscriptions
"Subscription Update","Subscription Update"
"Rebill Payment","Rebill Payment"
